City,Type,Date,Informatio,result_num,osm_id,display_na,category,type_1,lat,lng
Nuremberg,Bombe,23.06.99,"Am 23. Juni 1999 explodierte eine zur Rohrbombe umgebaute, mit Sprengstoff gefüllte Taschenlampe auf der Herrentoilette der Gastwirtschaft eines Türkeistämmigen in Nürnberg.",0,62780,"Nürnberg, Bayern, Deutschland",boundary,administrative,49.453872,11.077298
Nuremberg,Mord,09.09.00,"Enver Şimşek, einen Blumenhändler aus Schlüchtern, der am 9. September 2000 in Nürnberg ermordet wurde,",0,62780,"Nürnberg, Bayern, Deutschland",boundary,administrative,49.453872,11.077298
Cologne,Bombe,19.01.01,"Am 19. Januar 2001 explodierte in einem Lebensmittelgeschäft in Köln eine mit Schwarzpulver gefüllte und Zünder präparierte Metalldose, die ein als Kunde auftretender Mann unter den Waren abgelegt hatte.",0,62578,"Köln, Nordrhein-Westfalen, 50667, Regierungsbezirk Köln",boundary,administrative,50.938361,6.959974
Nuremberg,Mord,13.06.01,"Abdurrahim Özüdoğru, einen Fabrikarbeiter und Änderungsschneider, der am 13. Juni 2001 in Nürnberg ermordet wurde,",0,62780,"Nürnberg, Bayern, Deutschland",boundary,administrative,49.453872,11.077298
Hamburg,Mord,27.06.01,"Süleyman Taşköprü, einen Obst- und Gemüsehändler, der am 27. Juni 2001 in Hamburg ermordet wurde",0,62782,"Hamburg, 20095, Deutschland",boundary,administrative,53.550341,10.000654
Munich,Mord,29.08.01,"Habil Kılıç, einen Obst- und Gemüsehändler, der am 29. August 2001 in München ermordet wurde,",0,62428,"München, Bayern, 80331, Deutschland",boundary,administrative,48.1371079,11.5753822
Rostock,Mord,25.02.04,"Mehmet Turgut, einen Verkäufer in einem Dönerimbiss, der am 25. Februar 2004 in Rostock ermordet wurde,",0,62405,"Rostock, Mecklenburg-Vorpommern, 18055, Deutschland",boundary,administrative,54.0924445,12.1286127
Cologne,Bombe,09.06.04,"Am 9. Juni 2004 verübte der NSU einen Anschlag mit einer Nagelbombe in Mülheim (Köln), zu dem er sich in einem der Videos von 2011 bekannte. Am Tatort, der belebten Keupstraße, befinden sich vornehmlich türkische Geschäfte. Die Explosio",0,62578,"Köln, Nordrhein-Westfalen, 50667, Regierungsbezirk Köln",boundary,administrative,50.938361,6.959974
Nuremberg,Mord,09.06.05,"İsmail Yaşar, den Inhaber eines Dönerimbisses, der am 9. Juni 2005 in Nürnberg ermordet wurde,",0,62780,"Nürnberg, Bayern, Deutschland",boundary,administrative,49.453872,11.077298
Munich,Mord,15.06.05,"Theodoros Boulgarides, den Mitinhaber eines Schlüsseldienstes, der am 15. Juni 2005 in München ermordet wurde",0,62428,"München, Bayern, 80331, Deutschland",boundary,administrative,48.1371079,11.5753822
Dortmund,Mord,04.04.06,"Mehmet Kubaşık, den Inhaber eines Kiosks, der am 4. April 2006 in Dortmund ermordet wurde, und",0,1829065,"Dortmund, Nordrhein-Westfalen, Regierungsbezirk Arnsberg, 44137, Deutschland",boundary,administrative,51.5142273,7.4652789
Kassel,Mord,06.04.06,"Halit Yozgat, den Inhaber eines Internetcafés, der am 6. April 2006 in Kassel ermordet wurde – in Anwesenheit eines Verfassungsschützers.",0,62598,"Kassel, Niestetal, Regierungsbezirk Kassel, Hessen, 34117, Deutschland",boundary,administrative,51.3154546,9.4924096
Heilbronn,Mord,25.04.07,Am 25. April 2007 wurde die 22-jährige Bereitschaftspolizistin Michèle Kiesewetter in ihrem Dienstfahrzeug bei der Heilbronner Theresienwiese erschossen. Ihr Kollege überlebte schwer verletzt einen Kopfschuss.,0,62751,"Heilbronn, Baden-Württemberg, Deutschland",boundary,administrative,49.142291,9.218655
